         |--r--avg-|--g--avg-|--b--avg-|--r-g(0)-|--r----w-|--r-ginf-|--r---dx-|--r---dy-|--r-used-|--r-norm-|--g-g(0)-|--g----w-|--g-ginf-|--g---dx-|--g---dy-|--g-used-|--g-norm-|--b-g(0)-|--b----w-|--b-ginf-|--b---dx-|--b---dy-|--b-used-|--b-norm-|-rg-g(0)-|-rg----w-|-rg-ginf-|-rg---dx-|-rg---dy-|-rg-used-|-rg-norm-|-rb-g(0)-|-rb----w-|-rb-ginf-|-rb---dx-|-rb---dy-|-rb-used-|-rb-norm-|-gb-g(0)-|-gb----w-|-gb-ginf-|-gb---dx-|-gb---dy-|-gb-used-|-gb-norm-|rgb-g(0)-|rgb----w-|rgb-ginf-|rgb---dx-|rgb---dy-|rgb-used-|rgb-norm-
 11.00000| 52.70797| 20.96894| 26.24322|  0.08966| 15.05495|  0.03671|  0.00000|  0.00000|  0.00000|  0.01726|  0.03943| 12.78825|  0.00912|  0.00000|  0.00000|  0.00000|  0.01394|  0.08951| 13.87880|  0.02931|  0.00000|  0.00000|  0.00000|  0.03936|  0.00518| 13.26718|  0.01192|  0.00000|  0.00000|  0.00000|  0.00004|  0.06447| 14.62400|  0.02933|  0.00000|  0.00000|  0.00000|  0.00041| 34.87307|1842.77360|-34.86260|  0.00000|  0.00000|  0.00000|  0.00012|  2.03756|5373.80000| -2.03642|  0.00000|  0.00000|  0.00000|  0.00000
 12.00000| 51.61340| 21.32619| 25.63049|  0.09388| 16.16719|  0.02502|  0.00000|  0.00000|  0.00000|  0.02522|  0.04605| 13.19370|  0.00459|  0.00000|  0.00000|  0.00000|  0.01576|  0.08286| 15.31062|  0.01680|  0.00000|  0.00000|  0.00000|  0.04674|  0.03585| 41.51909| -0.01602|  0.00000|  0.00000|  0.00000|  0.00046|  0.06216| 17.05697|  0.01888|  0.00000|  0.00000|  0.00000|  0.00319|  0.00761| 15.32759|  0.00380|  0.00000|  0.00000|  0.00000|  0.00021|  0.00242| 24.40000| -0.00000|  0.00000|  0.00000|  0.00000|  0.00000
 13.00000| 53.63574| 23.90112| 27.29038|  0.08280| 15.43396|  0.01331|  0.00000|  0.00000|  0.00000|  0.02236|  0.05620| 13.50240|  0.01107|  0.00000|  0.00000|  0.00000|  0.01574|  0.07240| 13.94552|  0.01226|  0.00000|  0.00000|  0.00000|  0.04122|  0.00590| 16.74550|  0.00688|  0.00000|  0.00000|  0.00000|  0.00026|  0.04759| 14.34741|  0.01236|  0.00000|  0.00000|  0.00000|  0.00430|  0.00666| 15.04918|  0.00246|  0.00000|  0.00000|  0.00000|  0.00171|  0.00090| 12.50000|  0.00068|  0.00000|  0.00000|  0.00000|  0.00000
 14.00000| 42.24866| 20.20157| 22.04876|  0.09700| 14.85302|  0.03298|  0.00000|  0.00000|  0.00000|  0.02460|  0.05027| 12.97229|  0.01173|  0.00000|  0.00000|  0.00000|  0.01576|  0.07994| 13.63656|  0.01945|  0.00000|  0.00000|  0.00000|  0.04660|  0.00305| 13.64762|  0.01271|  0.00000|  0.00000|  0.00000|  0.00029|  0.05670| 14.55670|  0.02553|  0.00000|  0.00000|  0.00000|  0.00172|  0.00921| 21.23045|  0.00183|  0.00000|  0.00000|  0.00000|  0.00024|  0.00437| 21.20000| -0.00057|  0.00000|  0.00000|  0.00000|  0.00001
 15.00000| 46.89004| 18.25557| 25.07370|  0.09189| 14.57936|  0.03043|  0.00000|  0.00000|  0.00000|  0.01954|  0.02590| 11.48708|  0.00390|  0.00000|  0.00000|  0.00000|  0.01397|  0.08246| 13.91937|  0.01941|  0.00000|  0.00000|  0.00000|  0.04095|  0.00354| 14.97280|  0.00499|  0.00000|  0.00000|  0.00000|  0.00033|  0.06380| 15.03582|  0.02176|  0.00000|  0.00000|  0.00000|  0.00059|  0.01118| 28.95435| -0.00414|  0.00000|  0.00000|  0.00000|  0.00013|  0.00425| 19.00000|  0.00024|  0.00000|  0.00000|  0.00000|  0.00000
 16.00000| 43.76197| 25.14513| 22.21856|  0.08416| 15.81413|  0.06332|  0.00000|  0.00000|  0.00000|  0.02346|  0.07499| 14.17357|  0.02914|  0.00000|  0.00000|  0.00000|  0.01462|  0.06877| 14.12004|  0.02033|  0.00000|  0.00000|  0.00000|  0.04153|  0.00719| 19.19160|  0.00253|  0.00000|  0.00000|  0.00000|  0.00068|  0.04691| 14.66996|  0.03547|  0.00000|  0.00000|  0.00000|  0.00182|  0.01955| 36.51619| -0.01498|  0.00000|  0.00000|  0.00000|  0.00029|  0.00494| 57.80000| -0.00057|  0.00000|  0.00000|  0.00000|  0.00000
 17.00000| 46.83130| 21.80780| 23.68920|  0.09574| 14.79858|  0.05460|  0.00000|  0.00000|  0.00000|  0.01956|  0.05006| 13.57886|  0.01652|  0.00000|  0.00000|  0.00000|  0.01352|  0.08646| 14.76627|  0.03451|  0.00000|  0.00000|  0.00000|  0.04206|  0.00544| 16.72444|  0.01025|  0.00000|  0.00000|  0.00000|  0.00029|  0.05913| 14.92309|  0.04526|  0.00000|  0.00000|  0.00000|  0.00055| 30.78302|2087.97657|-30.77395|  0.00000|  0.00000|  0.00000|  0.00035|  0.01074| 35.20000| -0.00092|  0.00000|  0.00000|  0.00000|  0.00001
 18.00000| 59.29940| 23.67295| 29.23140|  0.07411| 15.36872|  0.03758|  0.00000|  0.00000|  0.00000|  0.01267|  0.04532| 13.57810|  0.01665|  0.00000|  0.00000|  0.00000|  0.01259|  0.07728| 13.79066|  0.03715|  0.00000|  0.00000|  0.00000|  0.03710|  0.00957| 22.20536|  0.00310|  0.00000|  0.00000|  0.00000|  0.00018|  0.04957| 14.14468|  0.03071|  0.00000|  0.00000|  0.00000|  0.00058|  0.02254| 71.69124| -0.01143|  0.00000|  0.00000|  0.00000|  0.00025|  0.00394| 21.30000|  0.00071|  0.00000|  0.00000|  0.00000|  0.00000
 19.00000| 41.78753| 24.17249| 22.23744|  0.08029| 14.07960|  0.05193|  0.00000|  0.00000|  0.00000|  0.02474|  0.06825| 13.24504|  0.02102|  0.00000|  0.00000|  0.00000|  0.01327|  0.08881| 12.70945|  0.02534|  0.00000|  0.00000|  0.00000|  0.04661|  0.02655| 51.23318| -0.02392|  0.00000|  0.00000|  0.00000|  0.00033|  0.05563| 12.98809|  0.03438|  0.00000|  0.00000|  0.00000|  0.00212| -0.00030|  4.57957| -0.00243|  0.00000|  0.00000|  0.00000|  0.00121| -0.00430| 53.70000|  0.00032|  0.00000|  0.00000|  0.00000|  0.00003
 20.00000| 60.78972| 24.13021| 30.09453|  0.09467| 16.24646|  0.03382|  0.00000|  0.00000|  0.00000|  0.01444|  0.05560| 13.63769|  0.00678|  0.00000|  0.00000|  0.00000|  0.01418|  0.08840| 14.48368|  0.01997|  0.00000|  0.00000|  0.00000|  0.03656|  0.00908| 18.87255| -0.00061|  0.00000|  0.00000|  0.00000|  0.00021|  0.06400| 16.09091|  0.01530|  0.00000|  0.00000|  0.00000|  0.00101|  0.00169|  6.05989|  0.00154|  0.00000|  0.00000|  0.00000|  0.00059|  0.00302| 62.10000| -0.00002|  0.00000|  0.00000|  0.00000|  0.00000
 21.00000| 68.58991| 33.60566| 37.46090|  0.04779| 14.44074|  0.02424|  0.00000|  0.00000|  0.00000|  0.00944|  0.04891| 14.98988|  0.01931|  0.00000|  0.00000|  0.00000|  0.00801|  0.07783| 13.47417|  0.02556|  0.00000|  0.00000|  0.00000|  0.02712|  0.00132|  9.44828|  0.00946|  0.00000|  0.00000|  0.00000|  0.00014|  0.04290| 13.81141|  0.01983|  0.00000|  0.00000|  0.00000|  0.00062|  0.02503| 39.49796| -0.01343|  0.00000|  0.00000|  0.00000|  0.00012|  0.30231|7739.20000| -0.30320|  0.00000|  0.00000|  0.00000|  0.00000
 22.00000| 52.90694| 25.06578| 26.00101|  0.09087| 15.54826|  0.07555|  0.00000|  0.00000|  0.00000|  0.01598|  0.05826| 13.45104|  0.03491|  0.00000|  0.00000|  0.00000|  0.01319|  0.09508| 14.36592|  0.04391|  0.00000|  0.00000|  0.00000|  0.04279|  0.01186| 15.40005|  0.02632|  0.00000|  0.00000|  0.00000|  0.00066|  0.06402| 15.25004|  0.05405|  0.00000|  0.00000|  0.00000|  0.00343|  0.00507| 18.64673|  0.02416|  0.00000|  0.00000|  0.00000|  0.00228|  0.00450| 13.90000|  0.00462|  0.00000|  0.00000|  0.00000|  0.00000
 23.00000| 44.21204| 20.18905| 23.41700|  0.10158| 17.50858|  0.02983|  0.00000|  0.00000|  0.00000|  0.02353|  0.03243| 15.36983|  0.00734|  0.00000|  0.00000|  0.00000|  0.01432|  0.17943| 18.24149|  0.02789|  0.00000|  0.00000|  0.00000|  0.04646|  0.00732| 18.89120|  0.00512|  0.00000|  0.00000|  0.00000|  0.00029|  0.10766| 17.75610|  0.02010|  0.00000|  0.00000|  0.00000|  0.00424|  0.01014| 17.60703|  0.00045|  0.00000|  0.00000|  0.00000|  0.00020|  0.01726| 18.70000|  0.00138|  0.00000|  0.00000|  0.00000|  0.00002
 24.00000| 48.56046| 21.00952| 24.38595|  0.07527| 15.99524|  0.02443|  0.00000|  0.00000|  0.00000|  0.02257|  0.03363| 14.33067|  0.00457|  0.00000|  0.00000|  0.00000|  0.01364|  0.06192| 14.77339|  0.01481|  0.00000|  0.00000|  0.00000|  0.04213|  0.01044| 31.67991|  0.00198|  0.00000|  0.00000|  0.00000|  0.00007|  0.04784| 16.01813|  0.01345|  0.00000|  0.00000|  0.00000|  0.00138|  0.00522| 16.05574|  0.00047|  0.00000|  0.00000|  0.00000|  0.00010|  0.00218| 16.70000|  0.00030|  0.00000|  0.00000|  0.00000|  0.00000
 25.00000| 55.35091| 22.41386| 27.22250|  0.08756| 15.81905|  0.02388|  0.00000|  0.00000|  0.00000|  0.02434|  0.06005| 13.46958|  0.00784|  0.00000|  0.00000|  0.00000|  0.01421|  0.07743| 14.37309|  0.02037|  0.00000|  0.00000|  0.00000|  0.03999|  0.03395| 55.52634| -0.01789|  0.00000|  0.00000|  0.00000|  0.00124|  0.05830| 16.82658|  0.01692|  0.00000|  0.00000|  0.00000|  0.00476|  0.00548| 11.96755|  0.00744|  0.00000|  0.00000|  0.00000|  0.00030|  0.00250| 23.70000|  0.00043|  0.00000|  0.00000|  0.00000|  0.00000
 26.00000| 43.34477| 23.69230| 22.80712|  0.06256| 14.83079|  0.01519|  0.00000|  0.00000|  0.00000|  0.02183|  0.05124| 13.93632|  0.03649|  0.00000|  0.00000|  0.00000|  0.01508|  0.05615| 14.76954|  0.01100|  0.00000|  0.00000|  0.00000|  0.04158|  0.00326| 15.61085|  0.01006|  0.00000|  0.00000|  0.00000|  0.00152|  0.03964| 16.09078|  0.00996|  0.00000|  0.00000|  0.00000|  0.00103|  0.00320| 11.10529|  0.00834|  0.00000|  0.00000|  0.00000|  0.00081|  0.00278| 14.90000|  0.00066|  0.00000|  0.00000|  0.00000|  0.00000
 27.00000| 44.37627| 20.35070| 24.22796|  0.08876| 14.81048|  0.03150|  0.00000|  0.00000|  0.00000|  0.02600|  0.04128| 11.76847|  0.00988|  0.00000|  0.00000|  0.00000|  0.01389|  0.07914| 13.93429|  0.02275|  0.00000|  0.00000|  0.00000|  0.04147|  0.01245| 28.51131|  0.00415|  0.00000|  0.00000|  0.00000|  0.00025|  0.06452| 14.43469|  0.02034|  0.00000|  0.00000|  0.00000|  0.00242|  0.00337| 17.51083|  0.00688|  0.00000|  0.00000|  0.00000|  0.00017|  0.00272| 25.80000|  0.00079|  0.00000|  0.00000|  0.00000|  0.00000
 28.00000| 44.01802| 20.94533| 22.36297|  0.06706| 15.07233|  0.03976|  0.00000|  0.00000|  0.00000|  0.02222|  0.06316| 15.16431|  0.00689|  0.00000|  0.00000|  0.00000|  0.01360|  0.06443| 15.16420|  0.01060|  0.00000|  0.00000|  0.00000|  0.04581| 16.32628|1709.38930|-16.31450|  0.00000|  0.00000|  0.00000|  0.00006|  0.04364| 16.51118|  0.01826|  0.00000|  0.00000|  0.00000|  0.00184| 11.44723|2384.28895|-11.44170|  0.00000|  0.00000|  0.00000|  0.00043|  0.00172| 54.10000| -0.00023|  0.00000|  0.00000|  0.00000|  0.00000
 29.00000| 64.12209| 22.91241| 32.42673|  0.06221| 15.51442|  0.02669|  0.00000|  0.00000|  0.00000|  0.01122|  0.03536| 13.30340|  0.01266|  0.00000|  0.00000|  0.00000|  0.01240|  0.07907| 15.06875|  0.02906|  0.00000|  0.00000|  0.00000|  0.03207|  0.00405| 25.57213|  0.00585|  0.00000|  0.00000|  0.00000|  0.00046|  0.04804| 15.75606|  0.02419|  0.00000|  0.00000|  0.00000|  0.00084|  0.00435| 14.13396|  0.00316|  0.00000|  0.00000|  0.00000|  0.00009| -2.88989|9113.10000|  2.88966|  0.00000|  0.00000|  0.00000|  0.00001
